University,Province,City,Tri-Council,Example Department,Faculty,Department,Program,Website,Contact Emails,,Emailed to Obtain,Emailed to Confirm,Domestic Tuition,Ancillary Fees,Total Domestic Fees,OOP Tuition,OOP Waiver,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Gross Stipend OOP,Net Stipend OOP,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,Notes,Tuition Data,Stipend Data,MBM Threshold 2020,MBM Threshold 2024,Rental Costs,Rental costs per year,Notes on Thresholds ,Net domestic - MBM Threshold (2024) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2024) ,Net International - Rent/year,Net International - Rent - $1K,Total Expenses,Operating Grant,Endowment
McGill,QC,Montreal,,Biological Sciences - Ecology,,,PhD,https://www.mcgill.ca/biology/graduate-studies/current-graduate-students-0/graduate-funding-0,,,FALSE,FALSE,2967.3,2416.53,5383.83,,,18239.7,3013.53,21253.23,Full,yes,05-Apr,,22063,,22063,,,180/yr,,2024-06-06,2024-2025,1,2,3,3,AF: Updated with most recent numbers,,,20753,24561.03,1763,21156,,-2498.03,907,-11093,-2498.03,907,-11093,1676,866,1822
McMaster,ON,Hamilton,NSERC,Biological Sciences - Ecology,Science,Department of Biology,MSc,https://gs.mcmaster.ca/program/biology/,,,FALSE,FALSE,2102.4,1090.66,3193.06,,,5698.74,1090.66,6789.4,,,2,27339,24145.94,27339,20549.6,,,,,,,1,1,2,1,"Somewhat unclear on if TAs are required or not. There's discussion of ""If a teaching assistantship is not available, the student may be supported by other sources depending on the availability of funds."" this seems to imply that a TA is required and if not given to student they might not meet a minimum? ",https://registrar.mcmaster.ca/fees/graduate/#tab-00,https://biology.mcmaster.ca/graduate/grad-guide/,22472,26595.45,1806,21672,Hamilton,-2449.51,2473.94,-9526.06,-6045.85,-1122.4,-13122.4,1256,284,909
University of Toronto,ON,Toronto,NSERC,Biological Sciences - Ecology,Science,Department of Ecology & Evolutionary Biology,MSc,https://eeb.utoronto.ca/education/graduate/,gradadmin.eeb@utoronto.ca,,FALSE,FALSE,6210,,6210,,,28900,,28900,Some exemptions available,Yes,16 months,33214,27004,,4314,,,140 hours per year,Not specified,2024-03-12,23-Apr,,,3,1,"The best most informative stipend page I've found yet for Ecology programs, which is still not complete. Note: this is the department of SOS Chair of the Board Prof. Marc Johnson. Tuition data on the other hand directed me from program page to Student Accounts page to Planning & Budget page. Some information on international students possibly eligible for an exemption allowing them to pay domestic fees. Actual tuition information buried in an Appendix in a PDF",https://planningandbudget.utoronto.ca/wp-content/uploads/2023/03/2023-24-Tuition-Fee-Report.pdf,https://eeb.utoronto.ca/education/graduate/graduate-finances/graduate-stipends/,24864,29426.37,2479,29748,,-2422.37,-2744,-14744,-25112.37,-25434,-37434,3724,719,3267
University of Toronto,ON,Toronto,,Biological Sciences - Ecology,,,PhD,https://eeb.utoronto.ca/education/graduate/,gradadmin.eeb@utoronto.ca,,FALSE,FALSE,6210,,6210,,,6210,,6210,Some exemptions available,Yes,"4-5, depending on admission stream (direct entry into PhD, or roll-up from MSc)",33214,27004,,27004,,,140 hours per year,Not specified,2024-03-12,23-Apr,,,3,1,"The best most informative stipend page I've found yet for Ecology programs, which is still not complete. Note: this is the department of SOS Chair of the Board Prof. Marc Johnson. ",https://planningandbudget.utoronto.ca/wp-content/uploads/2023/03/2023-24-Tuition-Fee-Report.pdf,https://eeb.utoronto.ca/education/graduate/graduate-finances/graduate-stipends/,24864,29426.37,2479,29748,,-2422.37,-2744,-14744,-2422.37,-2744,-14744,3724,719,3267
Ottawa,ON,Ottawa,NSERC,Physics,Science,Department of Physics,MSc,https://physics.carleton.ca/future-students/graduate,grad-supervisor@physics.carleton.ca,,FALSE,FALSE,2456.71,2489.62,4946.33,2708.53,2489.62,9720.89,3245.62,12966.51,,Yes,2,32000,27054,,19033,,29291,,,2024-03-01,2023-20234,0,0,1,1,"Took a long time to find stipend information, but I think i got caught in a loop on the faculty's page about the department, rather than the department page.",https://www.uottawa.ca/study/fees-financial-support/university-fees/tuition-canadians-ontario,https://physics.carleton.ca/future-students/graduate/funding-and-awards,24408,28886.7,1994,23928,,-1833.03,3125.67,-8874.33,-9853.21,-4894.51,-16894.51,1379,336,334
Guelph,ON,Guelph,,Physics,,,PhD,https://www.physics.uoguelph.ca/,epoisson@uoguelph.ca,Grad Program Coordinator,TRUE,FALSE,4661.38,1484.24,6145.62,,,13120.54,2240.24,15360.78,,Yes,4,30602,24456,39061,23700,,,140,,,,1,2,0,0,"Tried on 2024-2-16 to get information about the minimum stipend, but cannot find it on the website.",https://uoguelphca-my.sharepoint.com/:x:/g/personal/sfscomm_uoguelph_ca/Ec8jBdQ56m5Bih3a_8GAN9MBG2nJQnKyyqGOxTfoU_Gm4A?e=h1Htrn&activeCell=%272023%27!A1&action=embedview (Domestic) https://uoguelphca-my.sharepoint.com/:x:/g/personal/sfscomm_uoguelph_ca/ES-kzd15FPhDu-DFiIjzxVAB27VJh9m1yixTjaqq7dYQcg?e=fYm962&activeCell=%272023%27!A1&action=embedview (international),,22170,26238.04,2053,24636,,-1781.74,-179.7,-12179.7,-2537.74,-935.7,-12935.7,912,280,445
McMaster,ON,Hamilton,,Biological Sciences - Ecology,,,PhD,https://gs.mcmaster.ca/program/biology/,,,FALSE,FALSE,2102.4,1090.66,3193.06,,,2102.4,1090.66,3193.06,,,4,30327,27133.94,30327,27133.94,,,,,,,1,1,2,1,,https://registrar.mcmaster.ca/fees/graduate/#tab-00,https://biology.mcmaster.ca/graduate/grad-guide/,22472,26595.45,1806,21672,,538.49,5461.94,-6538.06,538.49,5461.94,-6538.06,1256,284,909
Ottawa,ON,Ottawa,,Physics,,,PhD,,,,FALSE,FALSE,2122.2,1934.86,4057.06,2228.31,1934.86,5825.85,2690.86,8516.71,"3,000 / term",Yes,5,36000,31943,,36483,,33772,,,2024-03-01,2023-20234,0,0,1,1,,,,24408,28886.7,1994,23928,,3056.24,8014.94,-3985.06,7596.59,12555.29,555.29,1379,336,334
Calgary,AB,Calgary,,,,,PhD,,,,FALSE,FALSE,3603.96,1997.42,5601.38,,,8404.53,,8404.53,,Yes,,27000,21399,28000,19595,,,,,,2023-24,0,1.5,3,1,,,,,,,,,,,,19595.47,19595.47,,,,
Simon Fraser University,BC,Burnaby,,,,,PhD,https://www.sfu.ca/mbb/graduate/prospective.html,,,FALSE,FALSE,6198.33,2004.44,8202.77,,,6198.33,2286.44,8484.77,,Yes,,29000,20797,29000,20515,,,0,yes,2024-04-30,2023-24,1,1.5,3,0,,,,,,,,,,,,,20515.23,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
